Geographic code,Geographic name,Province,Region,Type,pop_2011,log_pop_2011,fem_pop_2011,prop_fem_2011,pop_rank_2011,priv_dwell_2011,occ_private_dwell_2011,occ_rate_2011,med_unemployment_2011,med_total_income_2011
1,St. John's,NL,Atlantic,CMA,196966,5.294391265,103587,52.59131018,20,84542,78960,0.933973646,6.6,33420
205,Halifax,NS,Atlantic,CMA,390328,5.591429706,204579,52.41207395,13,177295,165153,0.931515271,6.2,33400
305,Moncton,NB,Atlantic,CMA,138644,5.14190108,70901,51.13888809,29,62403,58294,0.934153807,7.45,30690
310,Saint John,NB,Atlantic,CMA,127761,5.106398302,65834,51.52902685,31,56775,52281,0.920845443,6.75,29910
408,Saguenay,QC,Quebec,CMA,157790,5.198079476,79770,50.55453451,26,73766,69507,0.942263373,7.8,29560
421,Québec,QC,Quebec,CMA,765706,5.88406205,394935,51.57789021,7,361447,345892,0.956964645,5.15,33760
433,Sherbrooke,QC,Quebec,CMA,201890,5.305114808,104026,51.52607856,19,99913,91099,0.911783251,6.4,27620
442,Trois-Rivières,QC,Quebec,CMA,151773,5.181194519,78105,51.46172244,27,74837,70138,0.937210204,8.9,27050
462,Montréal,QC,Quebec,CMA,3824221,6.582542982,1971520,51.55350593,2,1696210,1613260,0.951096857,8.1,28870
505,Ottawa - Gatineau,ON,Ontario,CMA,1236324,6.0921323,647083,52.33927352,4,526627,498636,0.946848528,6.3,39170
521,Kingston,ON,Ontario,CMA,159561,5.202926749,83243,52.17001648,25,73889,65965,0.892758056,6.8,33850
529,Peterborough,ON,Ontario,CMA,118975,5.075455713,63260,53.17083421,33,53730,48848,0.909138284,9.4,29580
532,Oshawa,ON,Ontario,CMA,356177,5.551665872,186639,52.40063227,14,134034,129698,0.967649999,8.45,35330
535,Toronto,ON,Ontario,CMA,5583064,6.746872606,2947971,52.8020277,1,2079459,1989705,0.956837812,8.4,28260
537,Hamilton,ON,Ontario,CMA,721053,5.857967188,378690,52.51902426,9,294150,282186,0.959326874,6.6,32030
539,St. Catharines - Niagara,ON,Ontario,CMA,392184,5.593489872,206727,52.71173735,12,174338,160455,0.920367332,8.5,28500
541,Kitchener - Cambridge - Waterloo,ON,Ontario,CMA,477160,5.67866403,248382,52.05423757,10,191739,181493,0.946562775,6.6,32770
543,Brantford,ON,Ontario,CMA,135501,5.1319425,71217,52.5582837,30,55115,52726,0.956654268,8.75,29460
550,Guelph,ON,Ontario,CMA,141097,5.14951778,74111,52.52485879,28,59362,54868,0.924295004,6,35320
555,London,ON,Ontario,CMA,474786,5.676497904,250609,52.78356986,11,211260,195056,0.923298305,8.95,31130
559,Windsor,ON,Ontario,CMA,319246,5.504125464,166715,52.22148437,16,137098,126843,0.925199492,10.15,29720
568,Barrie,ON,Ontario,CMA,187013,5.271871797,97792,52.29155192,21,72817,68495,0.940645728,9.15,31670
580,Greater Sudbury / Grand Sudbury,ON,Ontario,CMA,160770,5.206205012,83981,52.23673571,24,72736,67767,0.931684448,7.25,34570
595,Thunder Bay,ON,Ontario,CMA,121596,5.084919289,63622,52.32244482,32,56071,52062,0.928501364,6.9,33240
602,Winnipeg,MB,Prairies,CMA,730018,5.863333569,379149,51.93693854,8,304779,291316,0.955827009,5.9,31750
705,Regina,SK,Prairies,CMA,210556,5.323367622,109719,52.10917761,18,90262,85731,0.949801688,4.7,38160
725,Saskatoon,SK,Prairies,CMA,260600,5.415974411,135561,52.01880276,17,110314,104237,0.944911797,5.5,36040
825,Calgary,AB,Prairies,CMA,1214839,6.084518726,625690,51.50394414,5,488451,464001,0.949943802,5.85,38860
835,Edmonton,AB,Prairies,CMA,1159869,6.064408941,597314,51.49840197,6,482249,450786,0.93475777,5.4,38580
915,Kelowna,BC,British Columbia,CMA,179839,5.254883879,93387,51.92811348,22,83836,74942,0.893911923,7.45,30200
932,Abbotsford - Mission,BC,British Columbia,CMA,170191,5.23093659,86740,50.96626731,23,63821,59317,0.929427618,8.7,26560
933,Vancouver,BC,British Columbia,CMA,2313328,6.364237214,1196793,51.734687,3,949565,891336,0.938678237,7.25,28220
935,Victoria,BC,British Columbia,CMA,344615,5.537334177,180421,52.35436647,15,167229,153328,0.916874466,6.2,34230
